source,distance,target
319624,2.45,319836
319625,26.12,320888
319626,0.94,320785
319627,12.36,319844
319628,6.31,319672
319628,17.37,320818
319629,1.16,320691
319629,3.93,321119
319630,3.39,320123
319630,8.34,320275
319631,15.53,320675
319631,12.88,320756
319632,18.02,319357
319632,12.65,319848
319632,14.37,321501
319634,1.43,320862
319635,7.05,320178
319636,2.21,320244
319636,1.16,321168
319637,0.81,321341
319638,8.34,320763
319638,0.94,320810
319638,1.85,320883
319640,1.78,320913
319641,1.99,320029
319642,2.06,319895
319642,16.47,321067
319643,5.0,320313
319644,1.0,319643
319645,1.16,320757
319645,3.21,320992
319646,3.06,320073
319647,0.88,320727
319647,0.96,321191
319648,1.65,320566
319648,0.9,320902
319648,1.15,320921
319649,4.95,320053
319650,1.54,320375
319650,2.21,320506
319650,0.75,321490
319651,1.2,319816
319652,1.24,319959
319652,5.28,320504
319652,4.68,320532
319653,0.85,321073
319654,3.61,319959
319654,12.75,320335
319654,7.89,321271
319655,1.84,320898
319655,0.66,320979
319656,4.89,319859
319656,5.0,320705
319657,1.76,319993
319657,4.34,320084
319658,1.35,319673
319658,0.81,321491
319659,0.53,320533
319659,0.84,320658
319660,1.83,320512
319660,2.98,321486
319661,1.03,320082
319662,3.94,320207
319662,3.89,320236
319663,2.01,321041
319663,2.16,321284
319664,3.04,321102
319664,3.0,321163
319664,2.5,321498
319665,0.59,319809
319665,1.43,320413
319667,1.6,319830
319667,1.5,319889
319668,1.64,319941
319670,3.51,319977
319670,3.83,320939
319670,1.39,321023
319671,12.23,319772
319671,18.18,320146
319674,5.9,321127
319674,4.49,321202
319675,1.29,319894
319676,2.01,320245
319677,1.58,321446
319678,4.35,320549
319678,4.33,321045
319678,2.2,321046
319679,1.18,320624
319679,2.5,321101
319680,1.31,319727
319680,1.09,320168
319682,3.09,320454
319682,2.81,320781
319683,0.81,321188
319683,1.08,321497
319684,5.65,320361
319684,9.83,320394
319684,4.93,321019
319684,6.89,321029
319684,9.35,321307
319685,1.06,321423
319686,13.15,320284
319686,3.85,320332
319686,5.0,320340
319687,1.79,320846
319687,1.53,321274
319688,1.43,320894
319688,1.2,321461
319689,0.75,319866
319689,0.68,319890
319690,0.98,321291
319695,1.54,319716
319695,1.24,319717
319696,0.96,319876
319697,1.0,320302
319699,1.14,320985
319700,1.66,321335
319701,1.51,320609
319701,2.84,321076
319701,4.98,321468
319702,2.84,320803
319702,1.08,321398
319703,1.53,319989
319703,2.35,321136
319704,1.0,319810
319705,1.41,320605
319705,2.51,320973
319706,0.49,320002
319706,1.19,320621
319707,1.0,321115
319708,0.93,320051
319709,2.31,319833
319709,3.09,320063
319710,2.15,320792
319710,3.61,321014
319711,2.14,320990
319711,3.11,321209
319711,3.49,321210
319713,2.39,320952
319714,2.75,320278
319714,8.36,321388
319715,4.98,320049
319715,5.96,320674
319717,1.04,321091
319718,1.44,320325
319718,0.9,321458
319719,0.78,319720
319719,0.48,321083
319720,0.93,319721
319720,4.24,320576
319720,16.5,321208
319721,1.35,320503
319722,1.24,320751
319723,2.03,320382
319724,0.41,320381
319724,1.51,321223
319725,2.26,320966
319725,3.01,321150
319726,3.08,320239
319726,3.89,321406
319727,1.03,321346
319728,3.25,320715
319729,3.21,320715
319730,0.5,319731
319731,0.95,320670
319732,3.21,321329
319733,4.46,320276
319733,1.75,320458
319734,3.19,320656
319734,3.73,321154
319736,3.5,320971
319737,3.26,320922
319737,4.54,321181
319737,7.11,321378
319738,2.54,320114
319738,2.28,320289
319739,1.69,320181
319739,1.56,320828
319740,9.29,320132
319740,3.54,321167
319742,2.4,320061
319742,2.3,321382
319743,1.73,320291
319744,4.25,320046
319744,4.11,321369
319745,0.96,320404
319746,2.71,319991
319747,0.85,320304
319747,4.19,320307
319748,1.46,319749
319750,2.71,320101
319750,6.51,320916
319751,1.38,320652
319751,2.93,321108
319753,0.61,320844
319754,3.76,320482
319754,4.87,320879
319754,4.44,320923
319755,1.48,321270
319756,3.28,319780
319756,3.36,321430
319757,2.01,320489
319757,3.65,321408
319758,13.95,320748
319758,4.63,320956
319759,2.96,320072
319760,2.18,320127
319761,0.64,319762
319762,3.83,320908
319763,5.5,320339
319763,3.49,321174
319764,1.85,319825
319764,0.86,320606
319765,1.51,321238
319766,0.88,320031
319766,0.41,321375
319767,0.89,320068
319767,2.51,320195
319767,2.78,321109
319769,2.02,320359
319770,0.88,320048
319770,0.76,321159
319771,0.81,319792
319771,2.11,320013
319772,9.58,320523
319773,7.61,320175
319774,1.35,321138
319775,2.05,319878
319775,2.2,320208
319776,1.13,320959
319777,2.26,321249
319777,2.64,321286
319778,2.3,320008
319778,0.81,320741
319779,2.66,320384
319779,1.1,320431
319781,1.99,320577
319782,2.53,319982
319782,4.01,320868
319782,3.23,320869
319784,1.25,319825
319784,1.08,319869
319786,1.24,320179
319786,1.3,321447
319787,0.95,319820
319787,3.21,319906
319789,2.86,320282
319789,3.14,321150
319790,0.66,320144
319790,0.99,320505
319791,5.75,321479
319793,0.96,320397
319793,0.79,320502
319793,0.99,321328
319794,1.23,319871
319794,1.38,319880
319795,8.76,321027
319796,0.5,321316
319797,0.98,320960
319799,0.68,320742
319799,0.79,321080
319801,1.91,320754
319801,1.75,321078
319802,1.66,319933
319802,0.45,321123
319802,1.21,321177
319803,1.03,320599
319803,1.33,321363
319804,1.28,320415
319805,4.3,320170
319805,20.34,321373
319806,6.71,321106
319806,2.15,321253
319808,0.75,320037
319808,0.7,321005
319810,1.13,320970
319811,8.25,320218
319812,1.73,320309
319813,5.44,320251
319814,3.66,321075
319815,2.48,321389
319816,1.65,320016
319817,9.43,320858
319817,9.48,320891
319818,1.75,320580
319819,10.28,320216
319819,10.13,320858
319820,1.79,320452
319821,2.7,320918
319822,2.43,320483
319822,6.08,320498
319823,0.86,320932
319824,3.83,320349
319825,1.79,320108
319825,2.1,320899
319826,1.48,320071
319826,1.14,320846
319827,0.9,321193
319828,0.93,321434
319829,12.36,320408
319830,2.09,320262
319831,1.75,320753
319832,1.2,320127
319833,3.73,320996
319834,1.02,321241
319835,1.05,320667
319836,1.85,320685
319836,2.23,320686
319836,3.15,320861
319839,3.98,320254
319840,0.44,319838
319840,1.87,321035
319842,9.08,321207
319842,6.83,321212
319843,1.88,320233
319843,3.69,321169
319844,15.69,320675
319845,9.18,320247
319845,6.68,320249
319846,3.05,320784
319847,7.0,320142
319847,5.1,320444
319848,19.4,320379
319848,9.14,321100
319849,1.83,319915
319850,3.06,320276
319851,0.76,321057
319851,1.33,321152
319852,0.75,320840
319853,1.06,320160
319853,0.7,320880
319855,0.89,320409
319856,17.88,320969
319857,0.68,319950
319857,0.71,320606
319858,0.73,321141
319859,3.58,320586
319861,7.36,320841
319863,3.88,320788
319863,2.99,320996
319863,7.39,321196
319864,1.95,319967
319865,3.21,320646
319867,2.24,320605
319867,14.6,321106
319870,0.6,320031
319870,0.64,320204
319870,1.16,321275
319872,2.2,320219
319873,5.64,320315
319873,11.5,320534
319873,5.14,321145
319874,2.2,320554
319874,1.64,321182
319875,10.96,320994
319877,4.43,320615
319877,3.84,320762
319877,1.73,321210
319878,2.54,320457
319879,0.65,319880
319882,4.23,320903
319882,6.63,321201
319882,14.2,321386
319883,6.11,319980
319883,3.68,320983
319884,6.85,320025
319885,0.83,320543
319886,0.91,319885
319887,1.69,319949
319889,3.31,320989
319890,0.65,321433
319891,0.86,321310
319892,5.16,319888
319892,2.41,321062
319893,0.75,320388
319893,4.22,321219
319894,1.79,320091
319894,1.56,320265
319894,1.18,321009
319895,4.59,320006
319895,2.08,320574
319896,0.48,320904
319896,0.98,321505
319897,3.86,320584
319898,2.13,321343
319899,3.31,321485
319900,1.99,319886
319900,1.31,319974
319901,14.63,320540
319901,29.08,320654
319902,1.14,320461
319903,4.49,321352
319905,0.85,320056
319905,2.69,321185
319906,1.3,320351
319906,1.93,320936
319906,4.2,321298
319906,3.56,321472
319907,10.14,320264
319907,1.44,320424
319909,3.9,320587
319909,3.75,320819
319910,1.6,321466
319911,1.04,320402
319911,0.58,320584
319912,3.79,320897
319912,1.7,321265
319913,0.66,320045
319914,0.85,320045
319914,0.95,321066
319916,4.04,320799
319916,1.81,321004
319917,1.43,320527
319917,2.14,320723
319918,5.75,320729
319920,0.51,320066
319921,1.95,321112
319922,2.14,321047
319923,0.55,320342
319923,0.83,320798
319925,1.53,321015
319926,1.93,320013
319928,2.38,320060
319928,1.06,320102
319930,5.86,320720
319931,0.89,319932
319933,1.76,320190
319933,2.21,321132
319934,1.53,320738
319934,2.65,321170
319935,0.72,319203
319935,1.18,320138
319936,0.44,320165
319936,1.13,321177
319937,6.98,320636
319938,1.73,321069
319938,0.84,321341
319939,1.48,320850
319940,0.98,321097
319941,1.5,321183
319942,9.14,320403
319942,7.97,320797
319943,4.29,321436
319945,3.84,320294
319945,4.55,321401
319946,5.73,320732
319947,0.9,320625
319947,0.73,321092
319948,2.23,321345
319948,2.64,321421
319951,4.1,320237
319951,4.19,321305
319951,2.88,321306
319952,3.21,320871
319952,0.69,321461
319953,3.06,320980
319953,1.78,321287
319954,4.85,320139
319955,2.25,320956
319956,5.46,320537
319956,0.5,320956
319957,3.71,320094
319957,1.81,321069
319957,2.33,321337
319958,1.59,321063
319959,16.36,320335
319959,1.74,320986
319959,3.25,321073
319959,11.25,321271
319960,1.16,321491
319961,2.38,320417
319961,0.9,321428
319962,1.23,320519
319962,4.51,321216
319963,2.43,320083
319964,3.35,321218
319964,1.53,321249
319965,3.26,321156
319966,3.61,320143
319967,3.83,320892
319968,5.05,320988
319968,4.6,321156
319969,0.94,321176
319970,4.16,320867
319971,2.38,320454
319972,1.23,320300
319972,4.44,320995
319973,5.19,320695
319973,3.38,321030
319974,1.01,320897
319975,1.1,320314
319976,0.5,321256
319978,2.63,320087
319979,1.18,320079
319979,0.74,320088
319980,1.33,320349
319981,9.56,320171
319982,1.94,320119
319984,1.71,320667
319984,0.91,321511
319985,1.8,321459
319986,3.64,321006
319986,1.83,321379
319987,13.81,320256
319987,12.29,320272
319988,0.88,320245
319988,1.08,321248
319988,1.35,321339
319989,1.16,321448
319990,2.01,321301
319991,4.8,320098
319992,2.59,320537
319992,4.26,321276
319995,2.98,320593
319997,7.54,320177
319997,2.64,321164
319998,2.0,320478
319999,4.43,321313
320000,2.65,321400
320001,10.76,321456
320001,8.91,321477
320003,1.58,321338
320004,4.48,320582
320004,1.29,320604
320006,2.61,321121
320009,7.93,320525
320009,3.78,320563
320010,1.66,320118
320010,2.49,321480
320011,2.51,320561
320012,3.01,320357
320012,4.34,321064
320015,1.14,320443
320016,1.94,320464
320016,1.5,321129
320017,4.91,321142
320017,2.5,321218
320018,1.61,320453
320019,5.14,320347
320019,3.65,321155
320020,0.56,321034
320020,1.33,321510
320021,2.18,320616
320022,0.59,320023
320023,2.23,320745
320027,3.09,321281
320028,0.68,320539
320029,2.23,320714
320029,3.08,320766
320030,0.83,321236
320030,1.19,321278
320034,2.8,320043
320034,2.19,320719
320035,2.09,321136
320036,1.54,321411
320038,3.26,320651
320038,1.89,321408
320039,1.86,320958
320040,13.25,320121
320040,12.4,320146
320041,17.49,320654
320041,7.15,321098
320042,3.04,320789
320042,2.53,320839
320043,2.11,321303
320044,2.66,320485
320049,10.01,320439
320050,2.34,321430
320051,1.95,320362
320052,1.96,320711
320055,5.75,320915
320056,2.26,320883
320057,1.08,320289
320057,2.06,321304
320058,1.97,320345
320059,1.49,320648
320060,1.74,321387
320061,1.36,320129
320061,1.53,321382
320062,1.44,320732
320063,2.64,321464
320064,4.5,320254
320064,1.5,320437
320065,0.75,320683
320066,0.73,320962
320067,0.46,320470
320067,1.23,321407
320068,0.65,320078
320069,1.14,321105
320070,1.94,320328
320070,2.53,321257
320072,4.51,320260
320073,7.8,321189
320074,1.76,320075
320074,2.21,320893
320075,2.59,320855
320076,0.89,319922
320076,2.36,320647
320079,1.09,320220
320081,4.6,320366
320081,4.75,321042
320083,1.69,320270
320084,5.04,320293
320084,0.95,320639
320085,7.18,320055
320085,2.19,320927
320086,1.6,320971
320087,6.01,321344
320089,1.43,320369
320089,1.56,321089
320090,3.3,320182
320090,2.86,321196
320090,3.01,321197
320091,0.63,320265
320091,1.26,320277
320091,1.6,321085
320093,5.0,320827
320093,6.04,320928
320095,1.8,320094
320096,1.7,320094
320097,2.25,320603
320099,1.41,319939
320100,3.11,320201
320102,1.75,320377
320102,2.58,321290
320103,1.98,320727
320103,0.46,320838
320103,1.96,321371
320104,1.25,320744
320105,4.98,321133
320106,7.58,319996
320107,0.93,320108
320107,1.6,321449
320109,1.28,321222
320109,0.83,321335
320110,4.19,320292
320110,4.81,321151
320111,0.49,320141
320111,0.7,320751
320112,2.91,321488
320113,2.5,320122
320115,1.11,320397
320115,1.21,321141
320116,3.2,320284
320116,8.7,320581
320118,1.01,321388
320118,1.01,321389
320119,0.78,321101
320120,3.38,320945
320122,2.26,321351
320123,17.17,320675
320124,5.55,320226
320125,10.6,320121
320125,3.8,320178
320126,9.3,320395
320126,10.48,320442
320126,8.34,320535
320126,3.53,321481
320128,3.35,320174
320129,0.73,321161
320130,3.54,320637
320131,1.48,320235
320131,1.54,321337
320133,1.88,320568
320133,1.5,320851
320134,7.34,320523
320135,7.8,320134
320135,15.14,320523
320136,11.75,320697
320136,11.5,321227
320137,0.5,320402
320137,2.49,320414
320138,0.29,320481
320139,3.99,320451
320140,0.75,320437
320140,3.53,320745
320141,1.1,320904
320142,3.14,320163
320142,7.38,320444
320145,3.09,321061
320147,4.39,320491
320147,3.66,321400
320148,13.7,320909
320148,11.18,321122
320149,2.91,320630
320150,2.35,320635
320151,0.67,320679
320151,1.05,320688
320152,4.54,320321
320153,5.06,320600
320153,9.85,321019
320154,1.25,320957
320154,1.0,321317
320154,5.49,321424
320156,0.83,320776
320157,0.63,320701
320158,11.15,320492
320158,6.75,321412
320160,1.34,320829
320161,0.88,321051
320161,0.94,321052
320162,5.89,320619
320164,1.49,320337
320164,1.2,320513
320165,0.81,320570
320166,2.76,320608
320167,1.33,321165
320169,3.46,320334
320170,5.41,320698
320172,5.68,320569
320172,0.74,320911
320173,8.98,321242
320174,2.31,321126
320175,7.19,320171
320176,6.96,320439
320176,3.0,321036
320179,2.58,321198
320180,3.18,320507
320180,6.41,320694
320180,2.59,320885
320181,5.05,320836
320183,0.69,320776
320183,0.58,320952
320185,3.51,321309
320186,2.24,320173
320186,3.25,321065
320188,6.04,321312
320189,1.73,321128
320190,0.45,321132
320191,3.7,320548
320191,1.9,321099
320191,1.96,321144
320193,2.55,321064
320193,3.04,321422
320194,0.88,320986
320194,1.09,321361
320196,2.58,320205
320197,1.2,320763
320197,1.36,321384
320198,1.4,320573
320198,11.99,321487
320199,1.71,321047
320201,5.4,320542
320202,1.95,320753
320202,4.35,321379
320203,1.54,321109
320203,2.48,321376
320205,3.85,320311
320206,2.6,320472
320206,2.71,320696
320207,2.84,320736
320209,7.36,320588
320209,3.23,320888
320210,1.41,320828
320210,0.86,320886
320210,1.29,321297
320211,1.48,320607
320212,2.95,320371
320213,4.13,320264
320214,1.11,321368
320215,2.6,320603
320215,1.1,321124
320217,3.36,321148
320220,0.86,320981
320221,1.23,320222
320221,4.19,321330
320222,3.21,320965
320224,5.85,320444
320224,17.76,320675
320224,3.23,321028
320225,3.66,321377
320226,10.06,320841
320227,1.25,320938
320227,0.75,321008
320228,5.29,321029
320229,0.82,320722
320229,0.4,321131
320230,3.51,320469
320230,1.51,320663
320232,19.09,320635
320232,21.04,320733
320234,2.74,320703
320235,2.23,320993
320236,2.34,320473
320238,8.09,321081
320240,1.0,320495
320241,0.58,321108
320242,1.95,320694
320244,0.74,320747
320248,1.25,320253
320248,2.91,320953
320249,3.75,320246
320253,8.01,320866
320253,6.25,321214
320254,4.95,320437
320257,1.43,320448
320257,1.9,320831
320258,0.73,320277
320258,1.03,321085
320259,2.45,321066
320259,1.0,321246
320260,2.5,320367
320261,1.59,320499
320261,1.11,321060
320263,0.58,320487
320264,7.55,320633
320264,5.99,321331
320265,1.69,320486
320266,0.25,320821
320266,1.75,321076
320267,1.66,320705
320267,2.5,321218
320268,0.44,320269
320269,0.68,321063
320272,10.92,320364
320273,15.0,320460
320273,16.04,320492
320273,4.7,321162
320273,3.75,321360
320276,3.4,320926
320277,1.81,320583
320277,0.45,321085
320278,4.03,320733
320279,0.74,320386
320279,1.13,321418
320281,2.74,321366
320282,2.56,320426
320283,2.1,320835
320283,2.35,321362
320285,1.6,319808
320285,1.39,320853
320285,2.05,321005
320286,2.1,320961
320291,2.37,321364
320292,14.75,320446
320292,9.5,320514
320292,6.14,320891
320294,4.61,320296
320295,3.04,320423
320296,3.44,320758
320297,1.06,320999
320297,4.06,321327
320301,1.05,320783
320302,2.86,321511
320305,3.65,320772
320306,3.8,320318
320308,5.65,320304
320308,1.76,320318
320309,3.38,320319
320310,2.31,320706
320311,2.98,320303
320312,2.94,320665
320312,2.0,320718
320313,3.0,320530
320314,0.8,320358
320315,3.63,320698
320316,1.75,320982
320316,3.99,321145
320317,6.45,320823
320319,2.75,320934
320320,1.05,321215
320320,1.34,321513
320321,1.94,321305
320322,0.51,320323
320324,2.29,321168
320325,2.4,320964
320326,0.79,320728
320326,1.26,321211
320327,2.83,320553
320327,2.99,320591
320327,1.8,320895
320327,1.35,321414
320328,0.64,320747
320330,9.65,320562
320330,9.4,320865
320331,1.75,321134
320331,1.95,321284
320332,5.44,321026
320333,3.41,320725
320334,4.0,321103
320335,4.7,320715
320336,0.5,320557
320337,0.53,320687
320338,2.4,321103
320340,18.15,320284
320340,8.85,320332
320341,1.01,320573
320343,0.55,320497
320343,1.55,320806
320344,2.13,320910
320346,2.19,321199
320348,1.44,320631
320348,2.15,320632
320349,3.88,320928
320352,10.0,320476
320352,14.44,320972
320353,1.4,320580
320353,1.98,320696
320354,2.85,320733
320355,4.44,320649
320356,0.53,320528
320360,1.53,320468
320362,0.78,320624
320366,1.01,320367
320368,4.11,320649
320369,2.91,320466
320370,3.0,321271
320371,2.75,321319
320372,0.45,320138
320372,0.56,320481
320375,0.53,320372
320375,2.0,320374
320375,0.59,320481
320377,6.0,320868
320377,1.0,321290
320378,4.2,320243
320380,1.34,321112
320381,1.1,320382
320383,2.66,319108
320383,2.89,321228
320384,4.12,321220
320385,2.66,320507
320386,1.19,321437
320387,2.64,320740
320388,0.5,320389
320390,1.88,321230
320391,0.81,320390
320391,1.53,320620
320392,1.34,320488
320392,1.01,321217
320393,18.03,320916
320393,21.15,321506
320394,13.81,321029
320396,0.58,320593
320398,4.58,320684
320398,2.48,321030
320399,1.43,321355
320401,1.64,320847
320401,2.23,321118
320403,6.55,321349
320404,1.09,320704
320406,1.09,320405
320407,0.5,320686
320407,0.66,320974
320409,0.63,321325
320410,1.74,320804
320410,0.9,321022
320411,8.49,321431
320413,3.15,321001
320414,2.5,321070
320414,3.21,321163
320415,1.75,321171
320415,6.78,321254
320418,2.62,320852
320418,3.39,320943
320419,3.04,320856
320419,1.9,320959
320420,5.8,321244
320421,0.75,320470
320421,1.79,320487
320422,3.55,321323
320422,2.03,321439
320423,5.49,321068
320425,1.19,321024
320426,0.94,321020
320427,1.76,320810
320428,2.05,320778
320428,1.9,321231
320429,1.6,320709
320430,1.01,321149
320432,1.7,320433
320432,2.8,321124
320433,2.76,320961
320434,0.43,320621
320436,2.75,321184
320438,1.16,320728
320438,2.18,320734
320440,4.04,320785
320440,9.09,321125
320440,4.76,321147
320441,1.65,320862
320441,9.36,321404
320442,1.7,320395
320442,3.95,321460
320443,1.0,319707
320443,2.78,321115
320445,2.61,321420
320447,2.83,320477
320448,1.16,321128
320452,2.19,321401
320457,3.03,320976
320459,1.92,320509
320460,11.36,320612
320460,12.29,320977
320460,10.09,321162
320461,6.79,321453
320462,2.73,321294
320463,3.54,319645
320463,0.36,320465
320463,1.45,320991
320463,1.24,320992
320463,3.05,321236
320464,2.24,321129
320466,3.73,320450
320466,0.65,320465
320467,4.06,320509
320467,0.74,320992
320468,1.36,320729
320469,3.23,320699
320475,0.46,320813
320475,1.23,321108
320479,0.48,320951
320479,0.64,321000
320480,4.44,321450
320481,1.54,320886
320482,6.98,320752
320482,3.55,321241
320483,2.54,320899
320484,3.85,319545
320484,3.71,320848
320485,1.74,320949
320485,4.43,321263
320485,4.62,321368
320486,0.9,320595
320488,1.1,320790
320488,0.96,321462
320490,5.75,320394
320490,8.8,321381
320494,1.93,320660
320496,0.83,321153
320496,1.65,321292
320497,2.1,320806
320497,2.04,320896
320498,2.66,320995
320500,0.79,320575
320501,0.34,321131
320501,1.87,321356
320502,0.44,321066
320503,6.28,321114
320504,2.51,321293
320506,0.73,321290
320510,0.45,320512
320514,7.18,320857
320515,4.24,320808
320515,6.15,320809
320516,1.3,321429
320518,0.55,320560
320518,2.42,320700
320519,3.78,321155
320520,5.1,321178
320520,5.05,321225
320520,8.71,321227
320522,6.23,320650
320522,3.94,321502
320524,4.41,321463
320525,2.98,321360
320526,8.25,321089
320527,0.78,320618
320531,1.16,321288
320532,1.12,320973
320533,1.29,321248
320534,3.75,320982
320535,3.54,321127
320536,3.88,320653
320538,2.81,321053
320539,1.86,320954
320540,18.51,320858
320541,3.08,321184
320542,0.51,320541
320544,0.33,320545
320545,2.84,320926
320547,1.14,320790
320548,2.56,320784
320548,3.2,321099
320550,2.44,320775
320551,1.94,320618
320553,1.26,321137
320555,1.5,321316
320556,0.83,320679
320558,7.75,321192
320558,12.16,321498
320560,0.9,321246
320561,2.99,321146
320562,13.4,321420
320563,14.54,320865
320563,13.75,321487
320564,0.86,321116
320564,1.21,321200
320565,4.89,321331
320565,3.09,321404
320566,1.74,321326
320569,5.18,321373
320570,1.51,320547
320571,5.93,320884
320571,10.15,321496
320572,2.13,320767
320574,0.68,321152
320575,0.68,320829
320578,1.01,320906
320578,1.83,321038
320579,3.33,320581
320579,1.71,320782
320583,0.81,320658
320585,1.04,320894
320586,2.09,320810
320587,2.94,321457
320589,1.0,321223
320591,0.74,321085
320591,1.4,321137
320595,1.51,320975
320596,0.58,320981
320596,0.81,321424
320597,1.29,321015
320598,1.39,321118
320601,2.9,320773
320601,9.83,320930
320602,1.52,320540
320602,3.7,320844
320604,2.05,320942
320607,1.81,321263
320609,10.82,320757
320609,7.08,321388
320610,1.99,320768
320611,13.96,321348
320612,13.78,321044
320613,1.03,321179
320613,3.05,321347
320615,3.34,321274
320616,4.31,321304
320622,1.4,320853
320623,1.83,321021
320625,2.73,321194
320626,0.38,321297
320628,1.14,320676
320629,1.66,320655
320629,1.34,321272
320630,1.43,320966
320631,4.06,321004
320633,2.51,321405
320634,3.6,321380
320635,32.16,320707
320636,3.54,320637
320636,5.08,320801
320636,9.11,321164
320639,3.15,321410
320640,1.74,321467
320643,2.1,321224
320645,1.16,321433
320646,2.89,321204
320647,3.26,321344
320649,4.56,321049
320651,1.3,321372
320653,0.96,321484
320654,16.63,321025
320654,12.09,321044
320654,6.12,321381
320655,1.69,321389
320657,0.95,320895
320657,1.5,321137
320658,0.71,320657
320659,9.99,321251
320659,4.75,321413
320660,4.7,321336
320663,2.19,320662
320665,4.94,320718
320666,0.8,321159
320669,3.21,320984
320670,2.06,320739
320672,5.65,321063
320673,4.13,320739
320673,4.19,321243
320674,4.16,321452
320677,20.25,321479
320678,0.83,320741
320678,2.0,320874
320680,3.56,320652
320680,6.96,320930
320681,2.35,321083
320682,5.19,320990
320683,1.49,321043
320684,5.29,321218
320685,0.41,320780
320687,0.38,320974
320688,1.06,321193
320689,3.79,321488
320690,0.99,321444
320693,7.95,320972
320699,1.23,321180
320701,1.49,321160
320702,5.71,321040
320702,9.6,321489
320706,4.78,320710
320708,0.99,320826
320708,2.31,321206
320709,1.18,321231
320716,0.99,321083
320716,3.9,321223
320720,2.89,321506
320721,1.21,321233
320725,2.25,321293
320726,4.9,321322
320726,3.26,321350
320729,3.15,321133
320730,1.1,321072
320730,0.63,321079
320731,3.8,321460
320733,5.28,320885
320736,4.18,321268
320737,2.54,321054
320737,2.16,321495
320738,0.85,321402
320741,1.0,321039
320743,0.46,321031
320745,0.79,320746
320748,3.56,320825
320749,1.83,320719
320750,6.25,320774
320752,8.25,320940
320753,0.7,320754
320755,1.33,321366
320755,2.25,321370
320757,16.38,321388
320758,8.34,320871
320759,0.56,320937
320760,0.86,321232
320760,2.04,321233
320762,3.43,320837
320763,0.65,320815
320764,0.94,320763
320764,1.18,320902
320765,1.18,321340
320767,0.76,320766
320769,0.5,320768
320769,2.75,321242
320771,3.51,321214
320773,1.46,320842
320775,4.06,321055
320777,1.31,321282
320779,1.96,320967
320779,2.08,321144
320781,4.68,321042
320783,1.91,321166
320785,8.34,321147
320787,2.13,320988
320788,2.81,321006
320789,4.11,321391
320790,1.41,321335
320791,0.74,320968
320793,2.48,321035
320793,1.35,321062
320794,1.0,320999
320795,5.64,321055
320796,6.85,321020
320796,1.04,321121
320798,0.4,321088
320802,1.19,320912
320802,1.95,321280
320803,0.96,320809
320803,2.68,321204
320803,4.96,321254
320804,5.45,320848
320804,0.65,321228
320805,0.91,320806
320807,2.1,320805
320807,3.2,321070
320809,1.91,320808
320809,4.3,321187
320809,2.31,321204
320810,1.84,320816
320811,0.75,320875
320812,1.63,321089
320814,9.06,321243
320821,2.96,321076
320821,1.47,321371
320822,0.34,321365
320824,1.68,321255
320824,4.5,321281
320829,1.11,321095
320832,2.3,321054
320833,1.5,320842
320836,2.14,321272
320839,0.87,321072
320847,2.11,320843
320847,1.16,321449
320852,4.61,321149
320854,3.26,321027
320854,5.7,321247
320857,4.59,320988
320857,21.51,321025
320858,7.5,321455
320860,0.21,319419
320860,0.33,321300
320863,4.91,321466
320865,30.16,321420
320866,1.28,320867
320866,9.28,321040
320866,14.49,321104
320868,9.1,321290
320869,4.98,321468
320870,1.6,320989
320870,1.39,321483
320872,0.5,320874
320872,0.75,320876
320874,2.0,321039
320876,0.78,320997
320877,1.85,321395
320878,1.4,320998
320879,1.78,321405
320881,3.65,321143
320882,0.63,320960
320887,3.59,321387
320887,0.55,321469
320889,0.75,321219
320889,1.25,321409
320898,1.76,321250
320900,2.9,320916
320902,1.03,320912
320906,0.85,320907
320907,1.41,321349
320908,1.26,321353
320911,4.15,321180
320913,1.69,321010
320915,5.14,321010
320919,1.71,320917
320920,8.01,320940
320920,7.89,321001
320920,6.01,321464
320920,18.4,321506
320921,0.73,321200
320921,1.18,321326
320924,0.86,321270
320931,1.06,321415
320935,0.48,321300
320935,0.62,321320
320937,1.63,320925
320939,3.14,321431
320941,1.49,321195
320944,3.43,321485
320946,1.49,321264
320947,6.09,321212
320947,4.59,321508
320948,3.11,321179
320949,1.51,321399
320950,0.91,321374
320950,1.23,321510
320951,0.98,321140
320954,0.58,321442
320958,0.91,321302
320962,0.72,321320
320963,1.71,321474
320964,1.48,321080
320965,2.06,321455
320969,10.28,321347
320969,19.74,321348
320969,7.32,321507
320977,2.84,321162
320979,0.78,321367
320987,1.38,321126
320988,18.99,321025
320991,3.19,321153
320992,1.0,320991
320993,2.78,321396
320994,12.59,321207
320994,19.74,321470
320998,1.93,321301
321000,0.59,321394
321003,0.99,321260
321012,1.25,319808
321013,7.6,321098
321014,4.55,321286
321017,1.65,321018
321018,1.0,321392
321021,1.48,321334
321023,0.88,321157
321032,0.85,321090
321033,2.56,321496
321034,0.85,321260
321035,3.83,321062
321038,1.81,321473
321039,2.0,320873
321041,2.5,321475
321045,3.63,321046
321048,1.55,321037
321049,14.36,321243
321050,3.56,321426
321051,1.14,320890
321058,1.99,321022
321058,1.43,321157
321064,5.29,321313
321067,5.97,321109
321068,4.98,320890
321071,0.89,321077
321071,0.88,321324
321075,1.56,321191
321077,1.33,321195
321078,4.36,321404
321084,0.53,321419
321087,2.4,321352
321088,0.84,321094
